protocolSection_identificationModule_nctId,protocolSection_identificationModule_briefTitle,protocolSection_statusModule_overallStatus,protocolSection_sponsorCollaboratorsModule_leadSponsor_name,protocolSection_sponsorCollaboratorsModule_leadSponsor_class,protocolSection_conditionsModule_conditions_0,protocolSection_designModule_studyType,protocolSection_eligibilityModule_sex,protocolSection_eligibilityModule_stdAges_0,protocolSection_contactsLocationsModule_locations_0_city,protocolSection_contactsLocationsModule_locations_0_country,hasResults,protocolSection_armsInterventionsModule_interventions_0_name,min_age,start_date_day,start_date_month,start_date_year,first_post_date_day,first_post_date_month,first_post_year
NCT02091193,Effects of Krill Oil on Endothelial Function in Patients With Type 2 Diabetes Mellitus,COMPLETED,Danbury Hospital,OTHER,Type II Diabetes Mellitus,OBSERVATIONAL,ALL,ADULT,Danbury,United States,False,Krill Oil (Supplement A),18,1,3,2012,19,3,2014
NCT06645418,Relative Hand Grip Strength and Functional Fitness in Diabetic Patient in Egypt,COMPLETED,Beni-Suef University,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,OLDER_ADULT,Cairo,Egypt,False,relative Hand grip strength,65,15,10,2023,16,10,2024
NCT01252524,Effect of Calcium Polycarbophil on Type II Diabetes Mellitus Control: a Randomized Double-blind Study,COMPLETED,East Carolina University,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,ADULT,Greenville,United States,False,Placebo,18,1,10,2010,3,12,2010
NCT01020123,"Evaluate Efficacy, Safety and Tolerability of AZD1656 as Add-on Treatment to Metformin in Type 2 Diabetes Mellitus (TD2M) Patients",COMPLETED,AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Temuco,Chile,True,AZD1656,18,1,10,2009,25,11,2009
NCT03258840,"EPA Supplementation on Vascular Inflammation, and Gene Expression of PON2 in Patients With Type II Diabetes Mellitus",COMPLETED,Tehran University of Medical Sciences,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,ADULT,Tehran,"Iran, Islamic Republic of",False,EPA Supplement,35,1,1,2013,23,8,2017
NCT03059719,Clinical Trial for PB-119 in Subjects With Type 2 Diabetes Mellitus,COMPLETED,"PegBio Co., Ltd.",OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Beijing,China,False,Exenatide injection(Byetta),18,8,4,2015,23,2,2017
NCT06386328,A Clinical Trial to Evaluate the Food Effect of CKD-378,COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Gimpo-si,"Korea, Republic of",False,"CKD-378, QD, PO",19,3,5,2024,26,4,2024
NCT00995787,Safety and Tolerability of AZD1656 in Type 2 Diabetes Mellitus (T2DM) Patients Treated With Metformin and Sulfonylurea,COMPLETED,AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,San Diego,United States,False,AZD1656,30,1,10,2009,15,10,2009
NCT01261494,Study With GFT505 (80mg) Versus Placebo in Patients With Type 2 Diabetes Mellitus,COMPLETED,Genfit,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Banja Luka,Bosnia and Herzegovina,False,GFT505 80mg,18,1,12,2010,16,12,2010
NCT05719155,Pharmacokinetics and Safety/Tolerability of CKD-379,COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",False,CKD-379,19,27,2,2023,8,2,2023
NCT05544214,"Clinical Study to Evaluate the Pharmacokinetics, Safety and Tolerability of CKD 371 in Healthy Subjects",COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",False,CKD-371,19,21,10,2022,16,9,2022
NCT05452525,Pharmacokinetics and Safety/Tolerability Profile of CKD-379,COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",False,CKD-379 I,19,26,7,2022,11,7,2022
NCT05364476,Development and Exploration of the Effectiveness and Feasbility of a Digital Intervention for Type 2 Diabetes Mellitus,COMPLETED,EVYD Technology,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Singapore,Singapore,False,16 weeks digital intervention,20,11,4,2022,6,5,2022
NCT05274880,Study to Evaluate the Food Effect on Pharmacokinetics Profile and Safety of CKD-393,COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",False,CKD-393,19,21,6,2022,11,3,2022
NCT02144948,Investigation of the Effect of E.-Coli-Nissle as Supporting Therapy to Standard Care of Diabetes Mellitus Type II,COMPLETED,GWT-TUD GmbH,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,ADULT,Dresden,Germany,False,e.-coli-nissle,45,1,8,2014,22,5,2014
NCT01972724,Efficacy of Pioglitazone in Participants With Inadequately Controlled Type 2 Diabetes Mellitus Treated With Stable Triple Oral Therapy,COMPLETED,Takeda,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Chagwon,"Korea, Republic of",True,Pioglitazone,18,16,12,2013,30,10,2013
NCT00306176,Rosiglitazone and Exercise in Patients With Type 2 Diabetes Mellitus,COMPLETED,Aristotle University Of Thessaloniki,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Thessaloniki,Greece,False,Rosiglitazone,40,1,1,2005,23,3,2006
NCT01969084,The Effect of Linagliptin on Mitochondrial and Endothelial Function,COMPLETED,Beth Israel Deaconess Medical Center,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Boston,United States,True,Linagliptin,30,1,10,2013,25,10,2013
NCT01262586,Vildagliptin Glycemic Profiles Assessment Using a Continuous Glucose Monitoring Device.,COMPLETED,Novartis Pharmaceuticals,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Mainz,Germany,False,Vildagliptin,18,1,11,2010,17,12,2010
NCT03478202,GOLO Open-Label Pilot 1,COMPLETED,Golo,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Valparaiso,United States,False,GOLO RELEASE,18,1,8,2017,27,3,2018
NCT02184455,Feasibility Study of DermGEN for Diabetic Foot Ulcer Treatment,COMPLETED,Dr. Paul F. Gratzer,INDUSTRY,Diabetes Type I,INTERVENTIONAL,ALL,ADULT,Halifax,Canada,True,DermGEN,18,1,7,2016,9,7,2014
NCT00863954,Application of Magnetic Fields as Adjunctive Treatment for Type II Diabetes,COMPLETED,"pico-tesla Magnetic Therapies, LLC",INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Littleton,United States,False,Resonator Device,21,1,1,2009,18,3,2009
NCT05662332,A Study of Insulin Efsitora Alfa (LY3209590) Compared to Glargine in Adult Participants With Type 2 Diabetes Who Are Starting Basal Insulin for the First Time (QWINT-1),COMPLETED,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,False,Insulin Efsitora Alfa,18,14,1,2023,22,12,2022
NCT00131287,The Supplementary Effects of the Extract of Agaricus Blazei Murril on Type II Diabetes Mellitus (DM),COMPLETED,ECbiotech Taiwan,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Taipei,Taiwan,False,Extract of Agaricus blazei Murill,20,1,7,2005,18,8,2005
NCT02592421,SGLT2 Inhibition and Stimulation of Endogenous Glucose Production: Protocol 2,COMPLETED,The University of Texas Health Science Center at San Antonio,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,San Antonio,United States,True,Dapagliflozin,18,23,10,2015,30,10,2015
NCT01076829,Effects of a Spiced Meat Patty on Inflammation in Men With Type 2 Diabetes,COMPLETED,"University of California, Los Angeles",OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,MALE,ADULT,Los Angeles,United States,False,Spice polyphenols,35,1,7,2009,26,2,2010
NCT02036372,"Perioperative Insulin, GIK or GLP-1 Treatment in Diabetes Mellitus",COMPLETED,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,ADULT,Amsterdam,Netherlands,False,Liraglutide,18,1,1,2014,15,1,2014
NCT01505426,A Study to Assess the Efficacy and Safety of ASP1941 in Combination With Metformin in Asian Diabetes Patients,COMPLETED,Astellas Pharma Inc,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Busan,"Korea, Republic of",False,ASP1941,20,28,11,2011,6,1,2012
NCT02761018,Using Technology to Share Fitness Goals and Results to Improve Diabetes Outcomes,COMPLETED,Mike O'Callaghan Military Hospital,FED,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Nellis AFB,United States,False,Behavioral: Fitness Tracker,18,8,8,2017,4,5,2016
NCT00309751,Study Comparing Pitavastatin and Atorvastatin in Patients With Type II Diabetes Mellitus and Combined Dyslipidemia,COMPLETED,Kowa Research Europe,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Aalborg,Denmark,True,Pitavastatin,18,1,12,2005,3,4,2006
NCT04632862,The Efficacy and Safety of DWP16001 Compared to Placebo in the Treatment of Type 2 Diabetes Mellitus.,COMPLETED,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",False,DWP16001,19,11,11,2020,17,11,2020
NCT04654390,The Efficacy Nad Safety of DWP16001 Compared to Active Drug in the Treatment of Type 2 Diabetes Mellitus,COMPLETED,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Bucheon,"Korea, Republic of",False,DWP16001 Amg,19,30,12,2020,4,12,2020
NCT02156349,A Study Evaluating the Efficacy and the Benefit of Integrated Personalized Diabetes Management (PDM) for Diabetic Patients.,COMPLETED,Hoffmann-La Roche,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Altenstadt,Germany,False,Accu-Chek Smart Pix Software,18,14,5,2014,5,6,2014
NCT02012478,Using a Motivational Interviewing (MI) Informed Text Messaging Program to Lower Blood Sugar in Diabetic Patients.,COMPLETED,University of Pennsylvania,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Philadelphia,United States,False,MI- informed SMS program,18,1,2,2014,16,12,2013
NCT03616392,Clinical Trial to Evaluate the Drug Drug Interaction of CKD-501 and D308,COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Jeonju,"Korea, Republic of",False,"D308, CKD-501",19,25,7,2018,6,8,2018
NCT01952535,"A Clinical Study to Evaluate Safety, Tolerability and Pharmacokinetics of Oral HMS5552 in Healthy Volunteers",COMPLETED,Hua Medicine Limited,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Shanghai,China,False,HMS5552,18,1,9,2013,30,9,2013
NCT01566981,E-health Care Process Support for Diabetes Type II Patients,COMPLETED,University of Primorska,OTHER,"Diabetes Mellitus Type II,",INTERVENTIONAL,ALL,ADULT,Ljubljana,Slovenia,True,Computerised support to the Diabetes type II patients,18,1,3,2012,30,3,2012
NCT02175121,"Safety, Tolerability, Pharmacokinetics And Pharmacodynamics Study Of PF-06291874 As Oral Monotherapy To Treat Adults With Type 2 Diabetes Mellitus",COMPLETED,Pfizer,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Anaheim,United States,True,Placebo,18,1,8,2014,26,6,2014
NCT00162175,PPAR-COMBO With Sulfonylurea,COMPLETED,Bristol-Myers Squibb,INDUSTRY,Metabolics Diabetes Nos,INTERVENTIONAL,ALL,ADULT,Anniston,United States,False,Muraglitazar,18,1,7,2003,13,9,2005
NCT00929539,Safety and Efficacy Study of JTT-130 in Obese Type 2 Diabetic Patients,COMPLETED,Akros Pharma Inc.,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,False,JTT-130,18,1,6,2009,29,6,2009
NCT01165190,Effect of Pioglitazone on Mitochondrial Function in Muscle and Adipose Tissue in Humans,COMPLETED,Arizona State University,OTHER,Type II Diabetes Mellitus,OBSERVATIONAL,ALL,ADULT,Tempe,United States,False,pioglitazone,18,1,5,2008,19,7,2010
NCT01196728,"Single-centre, Randomised, Double-blind, Placebo-controlled, Four-way Crossover Clinical Study to Investigate Safety and Tolerability and Pharmacokinetics of Single Doses of CM3.1-AC100 in Patients With Type 2 Diabetes",COMPLETED,"CellMed AG, a subsidiary of BTG plc.",INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Berlin,Germany,False,CM3.1-AC100,18,1,9,2010,8,9,2010
NCT05376930,Study to Evaluate the Long Term Safety and Efficacy of DWP16001 Compared to Placebo in the Treatment of T2DM.,COMPLETED,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",False,DWP16001 Amg,19,16,9,2021,17,5,2022
NCT04843592,SOKARY Mobile Application With Type II Diabetes,COMPLETED,Magda Bayoumi,OTHER,Type II Diabetes,OBSERVATIONAL,ALL,ADULT,Cairo,Egypt,False,SOKARY Mobile,20,30,8,2019,13,4,2021
NCT00952445,A Safety and Efficacy Study of T0903131 (INT131) Besylate to Treat Type 2 Diabetes Mellitus,COMPLETED,"InteKrin Therapeutics, Inc.",INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,La Jolla,United States,False,T0903131 Besylate,30,1,12,2003,6,8,2009
NCT03467932,A Study to Evaluate the Efficacy and Safety of ORMD-0801 (Oral Insulin) in Patients With Type 2 Diabetes Mellitus,COMPLETED,"Oramed, Ltd.",INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Flint,United States,True,Cohort A: ORMD-0801,18,29,5,2018,16,3,2018
NCT03112382,Effect of SLC30A8 rs13266634 Genetic Polymorphism on Zinc Supplementation and Glycemic Control in Egyptian Patients With Type 2 Diabetes Mellitus,COMPLETED,Cairo University,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Cairo,Egypt,False,zinc supplement plus vitamin A and E,20,1,11,2015,13,4,2017
NCT05376969,Evaluate the Long Term Safety and Efficacy of DWP16001 add-on to Metformin in Patients With T2DM Inadequately Controlled on Metformin,COMPLETED,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",False,DWP16001,19,25,5,2021,17,5,2022
NCT04270656,Liver and Metabolic Effects of Insulin Pump Therapy in Diabetics Type 2 with Non-alcoholic Hepatic Steatosis,COMPLETED,Nantes University Hospital,OTHER,Type 2 Diabetes (T2D),INTERVENTIONAL,ALL,ADULT,Angers,France,False,Insulin pump therapy,37,5,2,2021,17,2,2020
NCT03829514,Fenofibrate in Type 2 Diabetes,COMPLETED,Medical University of South Carolina,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Charleston,United States,True,Fenofibrate,18,4,2,2019,4,2,2019
NCT05455242,Habit Formation for Diabetes Self-Management,COMPLETED,Des Moines University,OTHER,Diabete Type 2,INTERVENTIONAL,ALL,ADULT,Omaha,United States,False,Habit formation,19,16,1,2021,13,7,2022
NCT00577590,Effects of Fatty Acid Delivery on Heart Metabolism and Function in Type 2 Diabetes (T2DM,COMPLETED,Washington University School of Medicine,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Saint Louis,United States,True,Metformin,18,1,10,2003,20,12,2007
NCT04634500,The Efficacy and Safety of DWP16001 in Combination With Metformin in Patients With Type 2 Diabetes.,COMPLETED,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Soeul,"Korea, Republic of",False,Dapagliflozin,19,18,11,2020,18,11,2020
NCT06224803,Evaluation of Effects of Dibifree® on Regulation of Blood Sugar and HbA1c in Patients With Type II Diabetes,COMPLETED,"Global Preventive Medicine Biotech Co., Ltd.",INDUSTRY,Type II Diabetes,INTERVENTIONAL,ALL,ADULT,New Taipei,Taiwan,False,Compound plant extracts,20,26,8,2020,25,1,2024
NCT05983289,Single Escalating Dose Study Of HSK7653 In Healthy Subjects,COMPLETED,"Haisco Pharmaceutical Group Co., Ltd.",INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Beijing,China,False,HSK7653,18,8,5,2018,9,8,2023
NCT06055582,To Study the Effects of Mango Ingestion in T2DM and Non-diabetic Subjects.,COMPLETED,"Diabetes Foundation, India",OTHER,Normoglycemia,INTERVENTIONAL,ALL,ADULT,New Delhi,India,False,Bread,25,11,2,2022,26,9,2023
NCT01654120,Study of Effectiveness of Liraglutide Added to High Dose Insulin in Type II Diabetics,COMPLETED,Mountain Diabetes and Endocrine Center,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Asheville,United States,False,Liraglutide,18,1,12,2011,31,7,2012
NCT02957721,Diabetes Engagement and Activation Platform,COMPLETED,Virginia Commonwealth University,OTHER,Type 2 Diabetes (T2D),INTERVENTIONAL,ALL,ADULT,Richmond,United States,False,Usual Care,18,1,11,2017,8,11,2016
NCT00151697,"LANN-study: Lantus, Amaryl, Novorapid, Novomix Study",COMPLETED,Rijnstate Hospital,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,ADULT,Arnhem,Netherlands,False,Novomix 30,30,1,5,2005,9,9,2005
NCT01194258,Safety/Efficacy Study of Subcutaneously Injected Prandial Insulins Compared to Insulin Lispro Alone in Patients With Type 2 Diabetes Mellitus,COMPLETED,Halozyme Therapeutics,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Concord,United States,True,Insulin lispro,18,1,8,2010,2,9,2010
NCT01596244,Jordan Diabetes Microclinic Project,COMPLETED,Microclinic International,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Amman,Jordan,False,Microclinic,18,1,4,2008,10,5,2012
NCT06642467,BGEM Use as Blood Glucose Prediction Model in T2DM Population of Indonesia,COMPLETED,Krida Wacana Christian University,OTHER,Diabete Type 2,OBSERVATIONAL,ALL,ADULT,Jakarta,Indonesia,False,BGEM,18,30,7,2024,15,10,2024
NCT03012074,Episodic to Real-Time Care in Diabetes Self-Management,COMPLETED,Duke University,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Durham,United States,False,Type 2 Diabetes Self-Management,18,2,3,2017,6,1,2017
NCT02824874,CKD-396 Drug-drug Interaction Study(A) (CKD-396 DDI(A) P1),COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Jeonju-si,"Korea, Republic of",False,Duvie Tab. 0.5mg,19,1,4,2016,7,7,2016
NCT04970940,The Drug-drug Interaction Study of AJU-A51R1 and AJU-A51R2,COMPLETED,"AJU Pharm Co., Ltd.",INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Jeonju,"Korea, Republic of",False,Treatment A,19,2,7,2020,21,7,2021
NCT00081328,Treatment Options for Type 2 Diabetes in Adolescents and Youth (TODAY),COMPLETED,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,CHILD,Los Angeles,United States,True,Metformin,10,1,5,2004,12,4,2004
NCT02685774,A Clinical Study to Compare the Pharmacokinetic Characteristics of CKD-395 0.25/500mg in Healthy Male Volunteers,COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Jeonju-si,"Korea, Republic of",False,"Duvie Tab. 0.5mg, Glucophage XR Tab. 500mg",19,1,2,2016,19,2,2016
NCT00660790,Multifactorial Treatment of Cardiovascular Risk in Diabetic Patients: Identification of Treatment Non-Responders,COMPLETED,Medical University of Graz,OTHER,"Diabetes Mellitus, Type II",OBSERVATIONAL,ALL,ADULT,Graz,Austria,True,Intensified Treatment of risk factors,45,1,4,2008,17,4,2008
NCT02648854,Investigate the Effect of Food on the Pharmacokinetic Characteristics of CKD-395 in Healthy Male Volunteers,COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Deokjin-gu,"Korea, Republic of",False,CKD-395 0.5(Lobeglitazone)/1000(Metformin)mg 1T,19,1,10,2015,7,1,2016
NCT02627027,A Clinical Study to Compare the Pharmacokinetic Characteristics of CKD-395 0.25/750 mg in Healthy Male Volunteers,COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Jeonju-si,"Korea, Republic of",False,"Duvie Tab. 0.5mg, Glucodaun OR Tab. 750mg",19,1,8,2015,10,12,2015
NCT02565368,A Clinical Study to Compare the Pharmacokinetic Characteristics of CKD-395 0.5/1000 mg in Healthy Male Volunteers,COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Jeonju-si,"Korea, Republic of",False,"Duvie Tab. 0.5mg, Glucophage XR Tab. 1000mg",19,1,7,2015,1,10,2015
NCT05904847,The Effect of Theory-Based Education on Patient Empowerment and Self-Efficacy in Patients With Type 2 Diabetes,COMPLETED,Sakarya University,OTHER,Diabete Type 2,INTERVENTIONAL,ALL,ADULT,Sakarya,Turkey,False,Application of The Theory of Planned Behaviour for Diabetes,40,16,4,2023,15,6,2023
NCT06188572,The Effect of Peripheral Neuropathy Symptoms on Temporomandibular Joint Functionality,COMPLETED,Bandırma Onyedi Eylül University,OTHER,Diabete Type 2,OBSERVATIONAL,ALL,ADULT,Balıkesir,Turkey,False,Michigan Neuropathy Screening Instrument,48,1,5,2023,3,1,2024
NCT02471794,Personalized Health Planning in Shared Medical Appointments for Individuals With Type II Diabetes Pilot Study,COMPLETED,Duke University,OTHER,Type II Diabetes,INTERVENTIONAL,ALL,ADULT,Durham,United States,False,Personalized Health Planning Shared Medical Appointment,18,1,12,2015,15,6,2015
NCT05359341,Which is Better to Start With DPP-4 Inhibitors or SGLT-2 Inhibitors in Egyptian Diabetic Patients?,COMPLETED,Sadat City University,OTHER,Diabete Type 2,INTERVENTIONAL,ALL,ADULT,El Sadat,Egypt,False,Sitagliptin 50 mg,20,20,9,2020,3,5,2022
NCT01728740,Bioequivalence Study for Acarbose / Metformin FDC,COMPLETED,Bayer,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Seoul,"Korea, Republic of",False,Acarbose/Metformin FDC (BAY81-9783),18,1,9,2012,20,11,2012
NCT01301092,A Study to Compare the Concentrations of LY2189265 After Different Methods of Administration to Healthy Volunteers.,COMPLETED,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Evansville,United States,True,LY2189265,18,1,2,2011,23,2,2011
NCT01247896,Single Dose Escalation Study of PF-05190457 in Healthy Volunteers,COMPLETED,Pfizer,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Bruxelles,Belgium,False,PF-05190457,18,1,12,2010,24,11,2010
NCT00231387,Rosiglitazone And Plaque Study for Type 2 Diabetes Mellitus,COMPLETED,GlaxoSmithKline,INDUSTRY,Non-insulin-dependent Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,London,United Kingdom,False,rosiglitazone,30,1,9,2002,4,10,2005
