Title,Sponsor,Sponsor_Class,Conditions,Study_Type,Sex,Age_Category,City,Country,Results,Interventions,min_age,start_date_day,start_date_month,start_date_year,first_post_date_day,first_post_date_month,first_post_year
Effects of Krill Oil on Endothelial Function in Patients With Type 2 Diabetes Mellitus,Danbury Hospital,OTHER,Type II Diabetes Mellitus,OBSERVATIONAL,ALL,ADULT,Danbury,United States,Passed,Krill Oil (Supplement A),18,1,3,2012,19,3,2014
Relative Hand Grip Strength and Functional Fitness in Diabetic Patient in Egypt,Beni-Suef University,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,OLDER_ADULT,Cairo,Egypt,Passed,relative Hand grip strength,65,15,10,2023,16,10,2024
Effect of Calcium Polycarbophil on Type II Diabetes Mellitus Control: a Randomized Double-blind Study,East Carolina University,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,ADULT,Greenville,United States,Passed,Placebo,18,1,10,2010,3,12,2010
"Evaluate Efficacy, Safety and Tolerability of AZD1656 as Add-on Treatment to Metformin in Type 2 Diabetes Mellitus (TD2M) Patients",AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Temuco,Chile,Failed,AZD1656,18,1,10,2009,25,11,2009
"EPA Supplementation on Vascular Inflammation, and Gene Expression of PON2 in Patients With Type II Diabetes Mellitus",Tehran University of Medical Sciences,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,ADULT,Tehran,"Iran, Islamic Republic of",Passed,EPA Supplement,35,1,1,2013,23,8,2017
Clinical Trial for PB-119 in Subjects With Type 2 Diabetes Mellitus,"PegBio Co., Ltd.",OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Beijing,China,Passed,Exenatide injection(Byetta),18,8,4,2015,23,2,2017
A Clinical Trial to Evaluate the Food Effect of CKD-378,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Gimpo-si,"Korea, Republic of",Passed,"CKD-378, QD, PO",19,3,5,2024,26,4,2024
Safety and Tolerability of AZD1656 in Type 2 Diabetes Mellitus (T2DM) Patients Treated With Metformin and Sulfonylurea,AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,San Diego,United States,Passed,AZD1656,30,1,10,2009,15,10,2009
Study With GFT505 (80mg) Versus Placebo in Patients With Type 2 Diabetes Mellitus,Genfit,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Banja Luka,Bosnia and Herzegovina,Passed,GFT505 80mg,18,1,12,2010,16,12,2010
Pharmacokinetics and Safety/Tolerability of CKD-379,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,CKD-379,19,27,2,2023,8,2,2023
"Clinical Study to Evaluate the Pharmacokinetics, Safety and Tolerability of CKD 371 in Healthy Subjects",Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,CKD-371,19,21,10,2022,16,9,2022
Pharmacokinetics and Safety/Tolerability Profile of CKD-379,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,CKD-379 I,19,26,7,2022,11,7,2022
Development and Exploration of the Effectiveness and Feasbility of a Digital Intervention for Type 2 Diabetes Mellitus,EVYD Technology,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Singapore,Singapore,Passed,16 weeks digital intervention,20,11,4,2022,6,5,2022
Study to Evaluate the Food Effect on Pharmacokinetics Profile and Safety of CKD-393,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,CKD-393,19,21,6,2022,11,3,2022
Investigation of the Effect of E.-Coli-Nissle as Supporting Therapy to Standard Care of Diabetes Mellitus Type II,GWT-TUD GmbH,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,ADULT,Dresden,Germany,Passed,e.-coli-nissle,45,1,8,2014,22,5,2014
Efficacy of Pioglitazone in Participants With Inadequately Controlled Type 2 Diabetes Mellitus Treated With Stable Triple Oral Therapy,Takeda,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Chagwon,"Korea, Republic of",Failed,Pioglitazone,18,16,12,2013,30,10,2013
Rosiglitazone and Exercise in Patients With Type 2 Diabetes Mellitus,Aristotle University Of Thessaloniki,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Thessaloniki,Greece,Passed,Rosiglitazone,40,1,1,2005,23,3,2006
The Effect of Linagliptin on Mitochondrial and Endothelial Function,Beth Israel Deaconess Medical Center,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Boston,United States,Failed,Linagliptin,30,1,10,2013,25,10,2013
Vildagliptin Glycemic Profiles Assessment Using a Continuous Glucose Monitoring Device.,Novartis Pharmaceuticals,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Mainz,Germany,Passed,Vildagliptin,18,1,11,2010,17,12,2010
GOLO Open-Label Pilot 1,Golo,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Valparaiso,United States,Passed,GOLO RELEASE,18,1,8,2017,27,3,2018
Feasibility Study of DermGEN for Diabetic Foot Ulcer Treatment,Dr. Paul F. Gratzer,INDUSTRY,Diabetes Type I,INTERVENTIONAL,ALL,ADULT,Halifax,Canada,Failed,DermGEN,18,1,7,2016,9,7,2014
Application of Magnetic Fields as Adjunctive Treatment for Type II Diabetes,"pico-tesla Magnetic Therapies, LLC",INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Littleton,United States,Passed,Resonator Device,21,1,1,2009,18,3,2009
A Study of Insulin Efsitora Alfa (LY3209590) Compared to Glargine in Adult Participants With Type 2 Diabetes Who Are Starting Basal Insulin for the First Time (QWINT-1),Eli Lilly and Company,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,Passed,Insulin Efsitora Alfa,18,14,1,2023,22,12,2022
The Supplementary Effects of the Extract of Agaricus Blazei Murril on Type II Diabetes Mellitus (DM),ECbiotech Taiwan,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Taipei,Taiwan,Passed,Extract of Agaricus blazei Murill,20,1,7,2005,18,8,2005
SGLT2 Inhibition and Stimulation of Endogenous Glucose Production: Protocol 2,The University of Texas Health Science Center at San Antonio,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,San Antonio,United States,Failed,Dapagliflozin,18,23,10,2015,30,10,2015
Effects of a Spiced Meat Patty on Inflammation in Men With Type 2 Diabetes,"University of California, Los Angeles",OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,MALE,ADULT,Los Angeles,United States,Passed,Spice polyphenols,35,1,7,2009,26,2,2010
"Perioperative Insulin, GIK or GLP-1 Treatment in Diabetes Mellitus",Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,ADULT,Amsterdam,Netherlands,Passed,Liraglutide,18,1,1,2014,15,1,2014
A Study to Assess the Efficacy and Safety of ASP1941 in Combination With Metformin in Asian Diabetes Patients,Astellas Pharma Inc,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Busan,"Korea, Republic of",Passed,ASP1941,20,28,11,2011,6,1,2012
Using Technology to Share Fitness Goals and Results to Improve Diabetes Outcomes,Mike O'Callaghan Military Hospital,FED,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Nellis AFB,United States,Passed,Behavioral: Fitness Tracker,18,8,8,2017,4,5,2016
Study Comparing Pitavastatin and Atorvastatin in Patients With Type II Diabetes Mellitus and Combined Dyslipidemia,Kowa Research Europe,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Aalborg,Denmark,Failed,Pitavastatin,18,1,12,2005,3,4,2006
The Efficacy and Safety of DWP16001 Compared to Placebo in the Treatment of Type 2 Diabetes Mellitus.,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,DWP16001,19,11,11,2020,17,11,2020
The Efficacy Nad Safety of DWP16001 Compared to Active Drug in the Treatment of Type 2 Diabetes Mellitus,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Bucheon,"Korea, Republic of",Passed,DWP16001 Amg,19,30,12,2020,4,12,2020
A Study Evaluating the Efficacy and the Benefit of Integrated Personalized Diabetes Management (PDM) for Diabetic Patients.,Hoffmann-La Roche,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Altenstadt,Germany,Passed,Accu-Chek Smart Pix Software,18,14,5,2014,5,6,2014
Using a Motivational Interviewing (MI) Informed Text Messaging Program to Lower Blood Sugar in Diabetic Patients.,University of Pennsylvania,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Philadelphia,United States,Passed,MI- informed SMS program,18,1,2,2014,16,12,2013
Clinical Trial to Evaluate the Drug Drug Interaction of CKD-501 and D308,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Jeonju,"Korea, Republic of",Passed,"D308, CKD-501",19,25,7,2018,6,8,2018
"A Clinical Study to Evaluate Safety, Tolerability and Pharmacokinetics of Oral HMS5552 in Healthy Volunteers",Hua Medicine Limited,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Shanghai,China,Passed,HMS5552,18,1,9,2013,30,9,2013
E-health Care Process Support for Diabetes Type II Patients,University of Primorska,OTHER,"Diabetes Mellitus Type II,",INTERVENTIONAL,ALL,ADULT,Ljubljana,Slovenia,Failed,Computerised support to the Diabetes type II patients,18,1,3,2012,30,3,2012
"Safety, Tolerability, Pharmacokinetics And Pharmacodynamics Study Of PF-06291874 As Oral Monotherapy To Treat Adults With Type 2 Diabetes Mellitus",Pfizer,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Anaheim,United States,Failed,Placebo,18,1,8,2014,26,6,2014
PPAR-COMBO With Sulfonylurea,Bristol-Myers Squibb,INDUSTRY,Metabolics Diabetes Nos,INTERVENTIONAL,ALL,ADULT,Anniston,United States,Passed,Muraglitazar,18,1,7,2003,13,9,2005
Safety and Efficacy Study of JTT-130 in Obese Type 2 Diabetic Patients,Akros Pharma Inc.,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,Passed,JTT-130,18,1,6,2009,29,6,2009
Effect of Pioglitazone on Mitochondrial Function in Muscle and Adipose Tissue in Humans,Arizona State University,OTHER,Type II Diabetes Mellitus,OBSERVATIONAL,ALL,ADULT,Tempe,United States,Passed,pioglitazone,18,1,5,2008,19,7,2010
"Single-centre, Randomised, Double-blind, Placebo-controlled, Four-way Crossover Clinical Study to Investigate Safety and Tolerability and Pharmacokinetics of Single Doses of CM3.1-AC100 in Patients With Type 2 Diabetes","CellMed AG, a subsidiary of BTG plc.",INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Berlin,Germany,Passed,CM3.1-AC100,18,1,9,2010,8,9,2010
Study to Evaluate the Long Term Safety and Efficacy of DWP16001 Compared to Placebo in the Treatment of T2DM.,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,DWP16001 Amg,19,16,9,2021,17,5,2022
SOKARY Mobile Application With Type II Diabetes,Magda Bayoumi,OTHER,Type II Diabetes,OBSERVATIONAL,ALL,ADULT,Cairo,Egypt,Passed,SOKARY Mobile,20,30,8,2019,13,4,2021
A Safety and Efficacy Study of T0903131 (INT131) Besylate to Treat Type 2 Diabetes Mellitus,"InteKrin Therapeutics, Inc.",INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,La Jolla,United States,Passed,T0903131 Besylate,30,1,12,2003,6,8,2009
A Study to Evaluate the Efficacy and Safety of ORMD-0801 (Oral Insulin) in Patients With Type 2 Diabetes Mellitus,"Oramed, Ltd.",INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Flint,United States,Failed,Cohort A: ORMD-0801,18,29,5,2018,16,3,2018
Effect of SLC30A8 rs13266634 Genetic Polymorphism on Zinc Supplementation and Glycemic Control in Egyptian Patients With Type 2 Diabetes Mellitus,Cairo University,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Cairo,Egypt,Passed,zinc supplement plus vitamin A and E,20,1,11,2015,13,4,2017
Evaluate the Long Term Safety and Efficacy of DWP16001 add-on to Metformin in Patients With T2DM Inadequately Controlled on Metformin,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,DWP16001,19,25,5,2021,17,5,2022
Liver and Metabolic Effects of Insulin Pump Therapy in Diabetics Type 2 with Non-alcoholic Hepatic Steatosis,Nantes University Hospital,OTHER,Type 2 Diabetes (T2D),INTERVENTIONAL,ALL,ADULT,Angers,France,Passed,Insulin pump therapy,37,5,2,2021,17,2,2020
Fenofibrate in Type 2 Diabetes,Medical University of South Carolina,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Charleston,United States,Failed,Fenofibrate,18,4,2,2019,4,2,2019
Habit Formation for Diabetes Self-Management,Des Moines University,OTHER,Diabete Type 2,INTERVENTIONAL,ALL,ADULT,Omaha,United States,Passed,Habit formation,19,16,1,2021,13,7,2022
Effects of Fatty Acid Delivery on Heart Metabolism and Function in Type 2 Diabetes (T2DM,Washington University School of Medicine,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Saint Louis,United States,Failed,Metformin,18,1,10,2003,20,12,2007
The Efficacy and Safety of DWP16001 in Combination With Metformin in Patients With Type 2 Diabetes.,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Soeul,"Korea, Republic of",Passed,Dapagliflozin,19,18,11,2020,18,11,2020
Evaluation of Effects of Dibifree® on Regulation of Blood Sugar and HbA1c in Patients With Type II Diabetes,"Global Preventive Medicine Biotech Co., Ltd.",INDUSTRY,Type II Diabetes,INTERVENTIONAL,ALL,ADULT,New Taipei,Taiwan,Passed,Compound plant extracts,20,26,8,2020,25,1,2024
Single Escalating Dose Study Of HSK7653 In Healthy Subjects,"Haisco Pharmaceutical Group Co., Ltd.",INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Beijing,China,Passed,HSK7653,18,8,5,2018,9,8,2023
To Study the Effects of Mango Ingestion in T2DM and Non-diabetic Subjects.,"Diabetes Foundation, India",OTHER,Normoglycemia,INTERVENTIONAL,ALL,ADULT,New Delhi,India,Passed,Bread,25,11,2,2022,26,9,2023
Study of Effectiveness of Liraglutide Added to High Dose Insulin in Type II Diabetics,Mountain Diabetes and Endocrine Center,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Asheville,United States,Passed,Liraglutide,18,1,12,2011,31,7,2012
Diabetes Engagement and Activation Platform,Virginia Commonwealth University,OTHER,Type 2 Diabetes (T2D),INTERVENTIONAL,ALL,ADULT,Richmond,United States,Passed,Usual Care,18,1,11,2017,8,11,2016
"LANN-study: Lantus, Amaryl, Novorapid, Novomix Study",Rijnstate Hospital,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,ADULT,Arnhem,Netherlands,Passed,Novomix 30,30,1,5,2005,9,9,2005
Safety/Efficacy Study of Subcutaneously Injected Prandial Insulins Compared to Insulin Lispro Alone in Patients With Type 2 Diabetes Mellitus,Halozyme Therapeutics,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Concord,United States,Failed,Insulin lispro,18,1,8,2010,2,9,2010
Jordan Diabetes Microclinic Project,Microclinic International,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Amman,Jordan,Passed,Microclinic,18,1,4,2008,10,5,2012
BGEM Use as Blood Glucose Prediction Model in T2DM Population of Indonesia,Krida Wacana Christian University,OTHER,Diabete Type 2,OBSERVATIONAL,ALL,ADULT,Jakarta,Indonesia,Passed,BGEM,18,30,7,2024,15,10,2024
Episodic to Real-Time Care in Diabetes Self-Management,Duke University,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Durham,United States,Passed,Type 2 Diabetes Self-Management,18,2,3,2017,6,1,2017
CKD-396 Drug-drug Interaction Study(A) (CKD-396 DDI(A) P1),Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Jeonju-si,"Korea, Republic of",Passed,Duvie Tab. 0.5mg,19,1,4,2016,7,7,2016
The Drug-drug Interaction Study of AJU-A51R1 and AJU-A51R2,"AJU Pharm Co., Ltd.",INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,ADULT,Jeonju,"Korea, Republic of",Passed,Treatment A,19,2,7,2020,21,7,2021
Treatment Options for Type 2 Diabetes in Adolescents and Youth (TODAY),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,CHILD,Los Angeles,United States,Failed,Metformin,10,1,5,2004,12,4,2004
A Clinical Study to Compare the Pharmacokinetic Characteristics of CKD-395 0.25/500mg in Healthy Male Volunteers,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Jeonju-si,"Korea, Republic of",Passed,"Duvie Tab. 0.5mg, Glucophage XR Tab. 500mg",19,1,2,2016,19,2,2016
Multifactorial Treatment of Cardiovascular Risk in Diabetic Patients: Identification of Treatment Non-Responders,Medical University of Graz,OTHER,"Diabetes Mellitus, Type II",OBSERVATIONAL,ALL,ADULT,Graz,Austria,Failed,Intensified Treatment of risk factors,45,1,4,2008,17,4,2008
Investigate the Effect of Food on the Pharmacokinetic Characteristics of CKD-395 in Healthy Male Volunteers,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Deokjin-gu,"Korea, Republic of",Passed,CKD-395 0.5(Lobeglitazone)/1000(Metformin)mg 1T,19,1,10,2015,7,1,2016
A Clinical Study to Compare the Pharmacokinetic Characteristics of CKD-395 0.25/750 mg in Healthy Male Volunteers,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Jeonju-si,"Korea, Republic of",Passed,"Duvie Tab. 0.5mg, Glucodaun OR Tab. 750mg",19,1,8,2015,10,12,2015
A Clinical Study to Compare the Pharmacokinetic Characteristics of CKD-395 0.5/1000 mg in Healthy Male Volunteers,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Jeonju-si,"Korea, Republic of",Passed,"Duvie Tab. 0.5mg, Glucophage XR Tab. 1000mg",19,1,7,2015,1,10,2015
The Effect of Theory-Based Education on Patient Empowerment and Self-Efficacy in Patients With Type 2 Diabetes,Sakarya University,OTHER,Diabete Type 2,INTERVENTIONAL,ALL,ADULT,Sakarya,Turkey,Passed,Application of The Theory of Planned Behaviour for Diabetes,40,16,4,2023,15,6,2023
The Effect of Peripheral Neuropathy Symptoms on Temporomandibular Joint Functionality,Bandırma Onyedi Eylül University,OTHER,Diabete Type 2,OBSERVATIONAL,ALL,ADULT,Balıkesir,Turkey,Passed,Michigan Neuropathy Screening Instrument,48,1,5,2023,3,1,2024
Personalized Health Planning in Shared Medical Appointments for Individuals With Type II Diabetes Pilot Study,Duke University,OTHER,Type II Diabetes,INTERVENTIONAL,ALL,ADULT,Durham,United States,Passed,Personalized Health Planning Shared Medical Appointment,18,1,12,2015,15,6,2015
Which is Better to Start With DPP-4 Inhibitors or SGLT-2 Inhibitors in Egyptian Diabetic Patients?,Sadat City University,OTHER,Diabete Type 2,INTERVENTIONAL,ALL,ADULT,El Sadat,Egypt,Passed,Sitagliptin 50 mg,20,20,9,2020,3,5,2022
Bioequivalence Study for Acarbose / Metformin FDC,Bayer,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,MALE,ADULT,Seoul,"Korea, Republic of",Passed,Acarbose/Metformin FDC (BAY81-9783),18,1,9,2012,20,11,2012
A Study to Compare the Concentrations of LY2189265 After Different Methods of Administration to Healthy Volunteers.,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Evansville,United States,Failed,LY2189265,18,1,2,2011,23,2,2011
Single Dose Escalation Study of PF-05190457 in Healthy Volunteers,Pfizer,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,ADULT,Bruxelles,Belgium,Passed,PF-05190457,18,1,12,2010,24,11,2010
Rosiglitazone And Plaque Study for Type 2 Diabetes Mellitus,GlaxoSmithKline,INDUSTRY,Non-insulin-dependent Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,London,United Kingdom,Passed,rosiglitazone,30,1,9,2002,4,10,2005
Mechanisms of Glycemic Improvement After Gastrointestinal Surgery,University of Washington,OTHER,"Diabetes Mellitus, Type II",OBSERVATIONAL,ALL,ADULT,Seattle,United States,Passed,No intervention,18,1,1,2010,4,12,2009
"Impact of the Rapid Normalization of Chronic Hyperglycemia and the Practice of Moderate Physical Activity on the ""Receptor Activator of Nuclear Factor-kappa B Ligand / Osteoprotégérine (RANKL / OPG) System in Patients Living With Type II Diabetes",Centre Hospitalier Sud Francilien,OTHER,Type II Diabetes,INTERVENTIONAL,ALL,ADULT,Corbeil-Essonnes,France,Passed,pratice physical activity,18,11,10,2021,19,5,2021
Effect of Premeal Protein-bar on Glycemic Control in Patients With Type 2 Diabetes,Seoul National University Hospital,OTHER,Patients With Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Failed,Premeal protein enriched bar,19,27,8,2018,1,11,2018
Activator and Type II Diabetics,Life University,OTHER,Type II Diabetes,OBSERVATIONAL,ALL,ADULT,Marietta,United States,Passed,Chiropractic Adjustment,30,1,8,2012,1,2,2013
A Study to Investigate the PK and Safety of CKD-393,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,CKD-393 formulation I,19,26,3,2021,24,2,2021
Prospective Observatonal Study for Effect of Duodenojejunal Bypass and Gastric Bypass on T2DM Patients,Inha University Hospital,OTHER,Non Insulin Dependent Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Incheon,"Korea, Republic of",Passed,laparoscopic roux en Y gastric bypass / open duodenojejunal bypass,20,1,12,2009,28,11,2012
Situational Problem Solving in Adolescents With Type 2 Diabetes: Enhancing a Randomized Controlled Trial (RCT),Vanderbilt University,OTHER,Adolescents With Type 2 Diabetes,INTERVENTIONAL,ALL,CHILD,Nashville,United States,Passed,Comprehensive intervention (disease management program),12,1,6,2009,29,4,2009
Safety and Efficacy Study of EndoBarrier in Subjects With Type II Diabetes and Obesity,Morphic Medical Inc.,INDUSTRY,Type II Diabetes,INTERVENTIONAL,ALL,ADULT,Arnhem,Netherlands,Failed,EndoBarrier,18,1,10,2009,28,9,2009
The Effects of GLP-1 in Maturity-Onset Diabetes of The Young (MODY),"University Hospital, Gentofte, Copenhagen",OTHER,Maturity-onset Diabetes of the Young,INTERVENTIONAL,ALL,ADULT,Hellerup,Denmark,Passed,liraglutide,18,1,8,2012,4,6,2012
"Clinical Trial to Investigate the Pharmacokinetics and Safety After Oral Administration of CKD-378 and Co-administration of D745, D150, D029 in Healthy Adults",Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,CKD-378 (low-dose),19,1,6,2023,31,5,2023
Magnesium Treatment of Inflammation in Disorders of Glucose Homeostasis,George Washington University,OTHER,Non-Insulin Dependent Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Kuwait City,Kuwait,Passed,magnesium lactate,20,1,10,2013,11,11,2013
