protocolSection_identificationModule_nctId,protocolSection_identificationModule_briefTitle,protocolSection_statusModule_overallStatus,protocolSection_statusModule_startDateStruct_date,protocolSection_statusModule_studyFirstPostDateStruct_date,protocolSection_sponsorCollaboratorsModule_leadSponsor_name,protocolSection_sponsorCollaboratorsModule_leadSponsor_class,protocolSection_conditionsModule_conditions_0,protocolSection_designModule_studyType,protocolSection_eligibilityModule_sex,protocolSection_eligibilityModule_minimumAge,protocolSection_eligibilityModule_stdAges_0,protocolSection_contactsLocationsModule_locations_0_city,protocolSection_contactsLocationsModule_locations_0_country,hasResults,protocolSection_armsInterventionsModule_interventions_0_name
NCT01020123,"Evaluate Efficacy, Safety and Tolerability of AZD1656 as Add-on Treatment to Metformin in Type 2 Diabetes Mellitus (TD2M) Patients",COMPLETED,2009-10,2009-11-25,AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Temuco,Chile,True,AZD1656
NCT03258840,"EPA Supplementation on Vascular Inflammation, and Gene Expression of PON2 in Patients With Type II Diabetes Mellitus",COMPLETED,2013-01,2017-08-23,Tehran University of Medical Sciences,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,35 Years,ADULT,Tehran,"Iran, Islamic Republic of",False,EPA Supplement
NCT03084965,Retrospective Study of Patients With Type 2 Diabetes Mellitus on Dapagliflozin Therapy in Taiwan,COMPLETED,2017-05-12,2017-03-21,AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,OBSERVATIONAL,ALL,,CHILD,Changhua,Taiwan,False,
NCT03059719,Clinical Trial for PB-119 in Subjects With Type 2 Diabetes Mellitus,COMPLETED,2015-04-08,2017-02-23,"PegBio Co., Ltd.",OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Beijing,China,False,Exenatide injection(Byetta)
NCT00825383,Effect of Dietary Fiber on Glucose & Lipids in Non Insulin Dependent Diabetes Mellitus (NIDDM),COMPLETED,1993-01,2009-01-21,University of Texas Southwestern Medical Center,OTHER,Non-Insulin-Dependent Diabetes Mellitus,INTERVENTIONAL,ALL,35 Years,ADULT,,,False,High Fiber and Moderate Fiber Diets
NCT06386328,A Clinical Trial to Evaluate the Food Effect of CKD-378,COMPLETED,2024-05-03,2024-04-26,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,19 Years,ADULT,Gimpo-si,"Korea, Republic of",False,"CKD-378, QD, PO"
NCT00995787,Safety and Tolerability of AZD1656 in Type 2 Diabetes Mellitus (T2DM) Patients Treated With Metformin and Sulfonylurea,COMPLETED,2009-10,2009-10-15,AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,30 Years,ADULT,San Diego,United States,False,AZD1656
NCT01261494,Study With GFT505 (80mg) Versus Placebo in Patients With Type 2 Diabetes Mellitus,COMPLETED,2010-12,2010-12-16,Genfit,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Banja Luka,Bosnia and Herzegovina,False,GFT505 80mg
NCT05719155,Pharmacokinetics and Safety/Tolerability of CKD-379,COMPLETED,2023-02-27,2023-02-08,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,19 Years,ADULT,Seoul,"Korea, Republic of",False,CKD-379
NCT05544214,"Clinical Study to Evaluate the Pharmacokinetics, Safety and Tolerability of CKD 371 in Healthy Subjects",COMPLETED,2022-10-21,2022-09-16,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,19 Years,ADULT,Seoul,"Korea, Republic of",False,CKD-371
NCT05452525,Pharmacokinetics and Safety/Tolerability Profile of CKD-379,COMPLETED,2022-07-26,2022-07-11,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,19 Years,ADULT,Seoul,"Korea, Republic of",False,CKD-379 I
NCT05364476,Development and Exploration of the Effectiveness and Feasbility of a Digital Intervention for Type 2 Diabetes Mellitus,COMPLETED,2022-04-11,2022-05-06,EVYD Technology,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,20 Years,ADULT,Singapore,Singapore,False,16 weeks digital intervention
NCT05274880,Study to Evaluate the Food Effect on Pharmacokinetics Profile and Safety of CKD-393,COMPLETED,2022-06-21,2022-03-11,Chong Kun Dang Pharmaceutical,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,19 Years,ADULT,Seoul,"Korea, Republic of",False,CKD-393
NCT02144948,Investigation of the Effect of E.-Coli-Nissle as Supporting Therapy to Standard Care of Diabetes Mellitus Type II,COMPLETED,2014-08,2014-05-22,GWT-TUD GmbH,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,45 Years,ADULT,Dresden,Germany,False,e.-coli-nissle
NCT01972724,Efficacy of Pioglitazone in Participants With Inadequately Controlled Type 2 Diabetes Mellitus Treated With Stable Triple Oral Therapy,COMPLETED,2013-12-16,2013-10-30,Takeda,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Chagwon,"Korea, Republic of",True,Pioglitazone
NCT00306176,Rosiglitazone and Exercise in Patients With Type 2 Diabetes Mellitus,COMPLETED,2005-01,2006-03-23,Aristotle University Of Thessaloniki,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,40 Years,ADULT,Thessaloniki,Greece,False,Rosiglitazone
NCT01969084,The Effect of Linagliptin on Mitochondrial and Endothelial Function,COMPLETED,2013-10,2013-10-25,Beth Israel Deaconess Medical Center,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,30 Years,ADULT,Boston,United States,True,Linagliptin
NCT01523405,"A Non-Interventional Study To Evaluate Diabetes Related Quality Of Life, Frequency And Impact Of Hypoglycemia In T2DM",COMPLETED,2012-03,2012-02-01,AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,OBSERVATIONAL,ALL,18 Years,ADULT,Vijayawada,India,False,
NCT01262586,Vildagliptin Glycemic Profiles Assessment Using a Continuous Glucose Monitoring Device.,COMPLETED,2010-11,2010-12-17,Novartis Pharmaceuticals,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Mainz,Germany,False,Vildagliptin
NCT03478202,GOLO Open-Label Pilot 1,COMPLETED,2017-08-01,2018-03-27,Golo,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,18 Years,ADULT,Valparaiso,United States,False,GOLO RELEASE
NCT02184455,Feasibility Study of DermGEN for Diabetic Foot Ulcer Treatment,COMPLETED,2016-07-01,2014-07-09,Dr. Paul F. Gratzer,INDUSTRY,Diabetes Type I,INTERVENTIONAL,ALL,18 Years,ADULT,Halifax,Canada,True,DermGEN
NCT00481663,A Study of Different Doses of Sitagliptin (MK-0431) in Participants With Type 2 Diabetes Mellitus (MK-0431-014),COMPLETED,2003-08-19,2007-06-04,Merck Sharp & Dohme LLC,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,21 Years,ADULT,,,False,Sitagliptin
NCT00863954,Application of Magnetic Fields as Adjunctive Treatment for Type II Diabetes,COMPLETED,2009-01,2009-03-18,"pico-tesla Magnetic Therapies, LLC",INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,21 Years,ADULT,Littleton,United States,False,Resonator Device
NCT05662332,A Study of Insulin Efsitora Alfa (LY3209590) Compared to Glargine in Adult Participants With Type 2 Diabetes Who Are Starting Basal Insulin for the First Time (QWINT-1),COMPLETED,2023-01-14,2022-12-22,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Birmingham,United States,False,Insulin Efsitora Alfa
NCT00131287,The Supplementary Effects of the Extract of Agaricus Blazei Murril on Type II Diabetes Mellitus (DM),COMPLETED,2005-07,2005-08-18,ECbiotech Taiwan,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,20 Years,ADULT,Taipei,Taiwan,False,Extract of Agaricus blazei Murill
NCT01552005,Description of Drug Utilization and Assessment of Impact of Saxagliptin on Health Status of Patients With Type 2 Diabetes in France,COMPLETED,2012-05,2012-03-13,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus (T2D),OBSERVATIONAL,ALL,18 Years,ADULT,,,False,Saxagliptin
NCT02592421,SGLT2 Inhibition and Stimulation of Endogenous Glucose Production: Protocol 2,COMPLETED,2015-10-23,2015-10-30,The University of Texas Health Science Center at San Antonio,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,San Antonio,United States,True,Dapagliflozin
NCT01076829,Effects of a Spiced Meat Patty on Inflammation in Men With Type 2 Diabetes,COMPLETED,2009-07,2010-02-26,"University of California, Los Angeles",OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,MALE,35 Years,ADULT,Los Angeles,United States,False,Spice polyphenols
NCT02036372,"Perioperative Insulin, GIK or GLP-1 Treatment in Diabetes Mellitus",COMPLETED,2014-01,2014-01-15,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,18 Years,ADULT,Amsterdam,Netherlands,False,Liraglutide
NCT01505426,A Study to Assess the Efficacy and Safety of ASP1941 in Combination With Metformin in Asian Diabetes Patients,COMPLETED,2011-11-28,2012-01-06,Astellas Pharma Inc,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Busan,"Korea, Republic of",False,ASP1941
NCT02761018,Using Technology to Share Fitness Goals and Results to Improve Diabetes Outcomes,COMPLETED,2017-08-08,2016-05-04,Mike O'Callaghan Military Hospital,FED,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Nellis AFB,United States,False,Behavioral: Fitness Tracker
NCT00309751,Study Comparing Pitavastatin and Atorvastatin in Patients With Type II Diabetes Mellitus and Combined Dyslipidemia,COMPLETED,2005-12,2006-04-03,Kowa Research Europe,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Aalborg,Denmark,True,Pitavastatin
NCT04632862,The Efficacy and Safety of DWP16001 Compared to Placebo in the Treatment of Type 2 Diabetes Mellitus.,COMPLETED,2020-11-11,2020-11-17,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,19 Years,ADULT,Seoul,"Korea, Republic of",False,DWP16001
NCT04654390,The Efficacy Nad Safety of DWP16001 Compared to Active Drug in the Treatment of Type 2 Diabetes Mellitus,COMPLETED,2020-12-30,2020-12-04,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,19 Years,ADULT,Bucheon,"Korea, Republic of",False,DWP16001 Amg
NCT02156349,A Study Evaluating the Efficacy and the Benefit of Integrated Personalized Diabetes Management (PDM) for Diabetic Patients.,COMPLETED,2014-05-14,2014-06-05,Hoffmann-La Roche,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Altenstadt,Germany,False,Accu-Chek Smart Pix Software
NCT02012478,Using a Motivational Interviewing (MI) Informed Text Messaging Program to Lower Blood Sugar in Diabetic Patients.,COMPLETED,2014-02,2013-12-16,University of Pennsylvania,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Philadelphia,United States,False,MI- informed SMS program
NCT03616392,Clinical Trial to Evaluate the Drug Drug Interaction of CKD-501 and D308,COMPLETED,2018-07-25,2018-08-06,Chong Kun Dang Pharmaceutical,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,19 Years,ADULT,Jeonju,"Korea, Republic of",False,"D308, CKD-501"
NCT01952535,"A Clinical Study to Evaluate Safety, Tolerability and Pharmacokinetics of Oral HMS5552 in Healthy Volunteers",COMPLETED,2013-09,2013-09-30,Hua Medicine Limited,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Shanghai,China,False,HMS5552
NCT01648244,The Use of a Computer Program to Help Primary Care Providers Treat Patients With Type 2 Diabetes,COMPLETED,2012-03,2012-07-24,Walter Reed National Military Medical Center,FED,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,,CHILD,Bethesda,United States,False,Computer-Assisted Decision Support
NCT01566981,E-health Care Process Support for Diabetes Type II Patients,COMPLETED,2012-03,2012-03-30,University of Primorska,OTHER,"Diabetes Mellitus Type II,",INTERVENTIONAL,ALL,18 Years,ADULT,Ljubljana,Slovenia,True,Computerised support to the Diabetes type II patients
NCT04218305,Fetuin-A as a Marker in Obesity and Type 2 Diabetes Mellitus,COMPLETED,2016-01-01,2020-01-06,Minia University,OTHER,Diabete Type 2,OBSERVATIONAL,ALL,45 Years,ADULT,,,False,Serum Level Of Fetuin A
NCT00344370,Follow-On Study of Pitavastatin Versus Atorvastatin in Patients With Type II Diabetes Mellitus and Combined Dyslipidemia,COMPLETED,2006-08,2006-06-26,Kowa Research Europe,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,,CHILD,Aalborg,Denmark,True,Pitavastatin
NCT00086515,Metformin Add-on Study in Patients With Type 2 Diabetes Mellitus (0431-020)(COMPLETED),COMPLETED,2004-06-30,2004-07-05,Merck Sharp & Dohme LLC,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,18 Years,ADULT,,,True,Sitagliptin (MK0431)
NCT02175121,"Safety, Tolerability, Pharmacokinetics And Pharmacodynamics Study Of PF-06291874 As Oral Monotherapy To Treat Adults With Type 2 Diabetes Mellitus",COMPLETED,2014-08,2014-06-26,Pfizer,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,18 Years,ADULT,Anaheim,United States,True,Placebo
NCT00162175,PPAR-COMBO With Sulfonylurea,COMPLETED,2003-07,2005-09-13,Bristol-Myers Squibb,INDUSTRY,Metabolics Diabetes Nos,INTERVENTIONAL,ALL,18 Years,ADULT,Anniston,United States,False,Muraglitazar
NCT00929539,Safety and Efficacy Study of JTT-130 in Obese Type 2 Diabetic Patients,COMPLETED,2009-06,2009-06-29,Akros Pharma Inc.,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Birmingham,United States,False,JTT-130
NCT01088711,Evaluation of Omarigliptin (MK-3102) in Obese Participants and in Participants With Type 2 Diabetes (MK-3102-004),COMPLETED,2010-03-11,2010-03-17,Merck Sharp & Dohme LLC,INDUSTRY,Type 2 Diabetes (T2D),INTERVENTIONAL,ALL,45 Years,ADULT,,,True,Omarigliptin
NCT01165190,Effect of Pioglitazone on Mitochondrial Function in Muscle and Adipose Tissue in Humans,COMPLETED,2008-05,2010-07-19,Arizona State University,OTHER,Type II Diabetes Mellitus,OBSERVATIONAL,ALL,18 Years,ADULT,Tempe,United States,False,pioglitazone
NCT01196728,"Single-centre, Randomised, Double-blind, Placebo-controlled, Four-way Crossover Clinical Study to Investigate Safety and Tolerability and Pharmacokinetics of Single Doses of CM3.1-AC100 in Patients With Type 2 Diabetes",COMPLETED,2010-09,2010-09-08,"CellMed AG, a subsidiary of BTG plc.",INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Berlin,Germany,False,CM3.1-AC100
NCT05376930,Study to Evaluate the Long Term Safety and Efficacy of DWP16001 Compared to Placebo in the Treatment of T2DM.,COMPLETED,2021-09-16,2022-05-17,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,19 Years,ADULT,Seoul,"Korea, Republic of",False,DWP16001 Amg
NCT04843592,SOKARY Mobile Application With Type II Diabetes,COMPLETED,2019-08-30,2021-04-13,Magda Bayoumi,OTHER,Type II Diabetes,OBSERVATIONAL,ALL,20 Years,ADULT,Cairo,Egypt,False,SOKARY Mobile
NCT00952445,A Safety and Efficacy Study of T0903131 (INT131) Besylate to Treat Type 2 Diabetes Mellitus,COMPLETED,2003-12,2009-08-06,"InteKrin Therapeutics, Inc.",INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,30 Years,ADULT,La Jolla,United States,False,T0903131 Besylate
NCT03467932,A Study to Evaluate the Efficacy and Safety of ORMD-0801 (Oral Insulin) in Patients With Type 2 Diabetes Mellitus,COMPLETED,2018-05-29,2018-03-16,"Oramed, Ltd.",INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,18 Years,ADULT,Flint,United States,True,Cohort A: ORMD-0801
NCT03112382,Effect of SLC30A8 rs13266634 Genetic Polymorphism on Zinc Supplementation and Glycemic Control in Egyptian Patients With Type 2 Diabetes Mellitus,COMPLETED,2015-11,2017-04-13,Cairo University,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,20 Years,ADULT,Cairo,Egypt,False,zinc supplement plus vitamin A and E
NCT05376969,Evaluate the Long Term Safety and Efficacy of DWP16001 add-on to Metformin in Patients With T2DM Inadequately Controlled on Metformin,COMPLETED,2021-05-25,2022-05-17,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,19 Years,ADULT,Seoul,"Korea, Republic of",False,DWP16001
NCT04270656,Liver and Metabolic Effects of Insulin Pump Therapy in Diabetics Type 2 with Non-alcoholic Hepatic Steatosis,COMPLETED,2021-02-05,2020-02-17,Nantes University Hospital,OTHER,Type 2 Diabetes (T2D),INTERVENTIONAL,ALL,37 Years,ADULT,Angers,France,False,Insulin pump therapy
NCT03829514,Fenofibrate in Type 2 Diabetes,COMPLETED,2019-02-04,2019-02-04,Medical University of South Carolina,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,18 Years,ADULT,Charleston,United States,True,Fenofibrate
NCT03155087,PRKAA2 Genetic Polymorphisms and Its Susceptibility to Chinese Type 2 Diabetes Mellitus and Diabetic Nephropathy,COMPLETED,2013-06,2017-05-16,People's Hospital of Zhengzhou University,OTHER,T2DM (Type 2 Diabetes Mellitus),OBSERVATIONAL,ALL,18 Years,ADULT,,,False,Metformin
NCT05455242,Habit Formation for Diabetes Self-Management,COMPLETED,2021-01-16,2022-07-13,Des Moines University,OTHER,Diabete Type 2,INTERVENTIONAL,ALL,19 Years,ADULT,Omaha,United States,False,Habit formation
NCT00577590,Effects of Fatty Acid Delivery on Heart Metabolism and Function in Type 2 Diabetes (T2DM,COMPLETED,2003-10,2007-12-20,Washington University School of Medicine,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,18 Years,ADULT,Saint Louis,United States,True,Metformin
NCT04634500,The Efficacy and Safety of DWP16001 in Combination With Metformin in Patients With Type 2 Diabetes.,COMPLETED,2020-11-18,2020-11-18,Daewoong Pharmaceutical Co. LTD.,INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,19 Years,ADULT,Soeul,"Korea, Republic of",False,Dapagliflozin
NCT06224803,Evaluation of Effects of Dibifree® on Regulation of Blood Sugar and HbA1c in Patients With Type II Diabetes,COMPLETED,2020-08-26,2024-01-25,"Global Preventive Medicine Biotech Co., Ltd.",INDUSTRY,Type II Diabetes,INTERVENTIONAL,ALL,20 Years,ADULT,New Taipei,Taiwan,False,Compound plant extracts
NCT05983289,Single Escalating Dose Study Of HSK7653 In Healthy Subjects,COMPLETED,2018-05-08,2023-08-09,"Haisco Pharmaceutical Group Co., Ltd.",INDUSTRY,T2DM (Type 2 Diabetes Mellitus),INTERVENTIONAL,ALL,18 Years,ADULT,Beijing,China,False,HSK7653
NCT06055582,To Study the Effects of Mango Ingestion in T2DM and Non-diabetic Subjects.,COMPLETED,2022-02-11,2023-09-26,"Diabetes Foundation, India",OTHER,Normoglycemia,INTERVENTIONAL,ALL,25 Years,ADULT,New Delhi,India,False,Bread
NCT01654120,Study of Effectiveness of Liraglutide Added to High Dose Insulin in Type II Diabetics,COMPLETED,2011-12,2012-07-31,Mountain Diabetes and Endocrine Center,OTHER,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,18 Years,ADULT,Asheville,United States,False,Liraglutide
NCT00701090,A Study to Test the Safety and Efficacy of Sitagliptin Compared to Glimepiride in Patients With Type 2 Diabetes on a Stable Dose of Metformin (0431-803)(COMPLETED),COMPLETED,2008-05,2008-06-19,Merck Sharp & Dohme LLC,INDUSTRY,"Type 2 Diabetes Mellitus, Non Insulin Dependent",INTERVENTIONAL,ALL,18 Years,ADULT,,,True,sitagliptin
NCT02957721,Diabetes Engagement and Activation Platform,COMPLETED,2017-11-01,2016-11-08,Virginia Commonwealth University,OTHER,Type 2 Diabetes (T2D),INTERVENTIONAL,ALL,18 Years,ADULT,Richmond,United States,False,Usual Care
NCT00151697,"LANN-study: Lantus, Amaryl, Novorapid, Novomix Study",COMPLETED,2005-05,2005-09-09,Rijnstate Hospital,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,30 Years,ADULT,Arnhem,Netherlands,False,Novomix 30
NCT04120844,Effectiveness of Motivational Interviewing on Improving Care for Type 2 Diabetes Mellitus Patients in China,COMPLETED,2016-05-01,2019-10-09,The University of Hong Kong-Shenzhen Hospital,OTHER,Diabete Type 2,INTERVENTIONAL,ALL,18 Years,ADULT,,,False,Motivational interviewing (MI)-based patient empowerment program (PEP)
NCT01194258,Safety/Efficacy Study of Subcutaneously Injected Prandial Insulins Compared to Insulin Lispro Alone in Patients With Type 2 Diabetes Mellitus,COMPLETED,2010-08,2010-09-02,Halozyme Therapeutics,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,18 Years,ADULT,Concord,United States,True,Insulin lispro
